Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,GEO_Accession (exp),tissue,Cell_type
SRR7961195,RNA-Seq,49,7234908,PRJNA494560,SAMN10172362,3220322,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794847,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415754,Kidney,SRP163252,GSM3415754,Kidney,
SRR7961196,RNA-Seq,49,672294120,PRJNA494560,SAMN10172361,287579342,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794848,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415755,Kidney,SRP163252,GSM3415755,Kidney,
SRR7961197,RNA-Seq,49,700426663,PRJNA494560,SAMN10172360,299235013,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794849,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415756,Kidney,SRP163252,GSM3415756,Kidney,
SRR7961198,RNA-Seq,49,543985222,PRJNA494560,SAMN10172359,234108687,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794850,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415757,Kidney,SRP163252,GSM3415757,Kidney,
SRR7961199,RNA-Seq,49,669706689,PRJNA494560,SAMN10172358,286330235,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794851,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415758,Kidney,SRP163252,GSM3415758,Kidney,
SRR7961200,RNA-Seq,49,835621673,PRJNA494560,SAMN10172357,356460846,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794852,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415759,Kidney,SRP163252,GSM3415759,Kidney,
SRR7961201,RNA-Seq,49,642767163,PRJNA494560,SAMN10172392,276897766,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794853,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415760,"Colon\, epithelium",SRP163252,,"Colon\, epithelium",
SRR7961202,RNA-Seq,49,631322604,PRJNA494560,SAMN10172380,269422388,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794854,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415761,"Colon\, epithelium",SRP163252,GSM3415761,"Colon\, epithelium",
SRR7961203,RNA-Seq,49,731877520,PRJNA494560,SAMN10172379,312488827,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794855,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415762,"Colon\, epithelium",SRP163252,,"Colon\, epithelium",
SRR7961204,RNA-Seq,49,839169943,PRJNA494560,SAMN10172378,355598795,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",healthy,SRX4794846,Illumina HiSeq 3000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-10-04T00:00:00Z,GSM3415763,"Colon\, epithelium",SRP163252,,"Colon\, epithelium",
